debtor_name,Primary Phone,sunbiz_email,Agent Name,Agent Address,Filing Date,Principal Address,Officer Names,enhanced_distress_level,city,sunbiz_doc_num
THE GREEN IGUANA BAR & GRILL INC,813-837-1234,badams@greeniguana.com,,",  ",,",  ",RICHARD       A CALDERONI,HIGH,TAMPA,P01000087457
THE CAFE LLC,704-328-6109,adwchelsea@icloud.com,,",  ",,",  ","ROBERT        L MOORE, DARYLE        S MOORE, ROBERT        L MOORE, JANE          E WOOD, ANTHONY       D WOOD",HIGH,NAPLES,L03000003254
ROKO INVESTMENTS LLC,954-541-5284,Olenkasweets@gmail.com,,",  ",,",  ","PRASAD MENON, PRASAD MENON, oscar         a prieto urtecho, oscar         A Prieto urtecho",HIGH,WESTON,L20000065825
CANTINA VIAJERO LLC,214-995-5010,karin@baalegal.com,,",  ",,",  ",RITHEA SOM,HIGH,TRINITY,L21000521990
BOCA GRILL INC,561-419-8434,RL@goldstandardofcare.com,,",  ",,",  ","YAKOV LEVI, yakov levi, MICHAEL VERBITSKY, RICKI KANETI, David Itskovich",HIGH,BOCA RATON,P14000097905
CANOPY ROAD CAFE LLC,407-967-1149,draneymd@aol.com,,",  ",,",  ","JUAN          B SANCHEZ, JUAN          C SANCHEZ, Brad Buckenheimer, DAVID RANEY",HIGH,TALLAHASSEE,L06000112400
THE ROYAL FAMILY INVESTMENTS LLC,407-777-0817,homespecialist18@icloud.com,,",  ",,",  ","Jose          A Taveras, JOSE TAVERAS",HIGH,ORLANDO,L16000112347
KUACHOS 305 INC,786-569-4469,MTMCUISINE@GMAIL.COM,,",  ",,",  ","JESSICA PRINSTEIN, CLAUDIO FERRARI, MARCIAL       E AVERO, MARCIAL       E AVERO",HIGH,MIAMI,P23000039559
FARM TO TACO LLC,727-203-8129,farmtotaco@gmail.com,,",  ",,",  ","CHRISTINE ROBINSON, Christine Robinson",HIGH,TRINITY,L24000482197
GIGGLEWATERS MOBILE KITCHENS LLC,212-203-2449,hilaryhhawks@gmail.com,,",  ",,",  ","HILARY HAWKS, HILARY HAWKS",HIGH,CLEARWATER,L24000130591
NAKAMA ANIME CAFE LLC,865-640-3066,shawnlim212@gmail.com,,",  ",,",  ","SHAWN LIM, SHAWN LIM",HIGH,ORANGE PARK,L23000101810
DE BOER GROUP INC,904-749-0775,VICTORESTATESLLC@GMAIL.COM,,",  ",,",  ","JUSTIN        A DE BOER, JUSTIN        A DE BOER, JUSTIN        A DE BOER, VICTOR CACERES, VICTOR CACERES",HIGH,YULEE,P22000078540
"LE PAVILLON OF ST. AUGUSTINE, LLC",904-377-7610,chezlamouruptown@gmail.com,,",  ",,",  ","BRUCE FEINGOLD, BRUCE FEINGOLD, Jeanetta Salyer",HIGH,ST AUGUSTINE,L15000094848
ARIO LLC,407-724-6910,ORMOD1717@GMAIL.COM,,",  ",,",  ",,HIGH,PANAMA CITY BEACH,691508
PRONTO PIZZA INC,561-842-5660,betty@bonosbarbq.com,,",  ",,",  ",,HIGH,OCALA,S58617
LA GUAJIRA PIZZERIA CUBANA LLC,786-253-0514,dianelisjesus@hotmail.com,,",  ",,",  ","RAYMOND ALLEN, RAYMOND ALLEN, RAYMOND ALLEN, RAYMOND ALLEN, RAYMOND ALLEN",MODERATE,HIALEAH,L18000056261
"AROY THAI & SUSHI, INC.",813-562-1010,cindy@commpropmanagement.com,,",  ",,",  ","JOHAN SANTANA, BERKRERK SOONTORN, BERKRERK SOONTORN",MODERATE,PETERSBURG,P17000030239
"RINCONCITO LATINO CAFETERIA, INC.",305-606-9323,usa.managementco@gmail.com,,",  ",,",  ","JOSE          M MORENO, JOSE          M MORENO",MODERATE,MIAMI,P00000052583
THE URBAN OAK BRICK OVEN LLC,727-858-7346,theurbanoakbrickoven@gmail.com,,",  ",,",  ","John Beebe, Kaleigh Kindem, CONNIE        H BEEBE, PAUL KINDEM, JOHN          S BEEBE",MODERATE,NEW PORT RICHEY,L20000202268
FOSTERS BBQ,561-460-3490,,,",  ",,",  ",,MODERATE,WEST PALM BCH,
"HOMELAB SOLUTIONS, LLC",305-924-1043,YURIBALART@HOTMAIL.COM,,",  ",,",  ","GERARDO PACHECO, GERARDO PACHECO",MODERATE,MIAMI,L20000240643
"AFRO LOUNGE, LLC",610-657-4069,accahorlu@gmail.com,,",  ",,",  ","Irene Ahorlu, PATRICK AHORLU, PATRICK AHORLU",MODERATE,HOLLYWOOD,L22000267896
CHARLIE'S HAPPY CORN INC,863-484-3198,dazesouvenir@yahoo.com,,",  ",,",  ","MIRIAM MORENO, MIRIAM MORENO, RALPH SOUVENIR, RALPH SOUVENIR",MODERATE,PALM SPRINGS,P15000057271
"RP PALM BEACH, LLC",561-296-7699,jason@jasonhamilton.ink,,",  ",,",  ","INIGO         N ARDID, CHARLOTTE     R SEVILLA, DIEGO ARDID, Inigo Ardid, MARK          W CORNS",MODERATE,WEST PALM BEACH,M16000007837
"JERK MACHINE @ RIVER BEND FT LAUDERDALE, LLC",954-440-4556,jerkmachine3@gmail.com,,",  ",,",  ","KIRSTEN PARDO VOGEL, KIRSTEN PARDO VOGEL, Diedre Malcolm, Diedre Malcolm",MODERATE,FORT LAUDERDALE,L15000039729
TIKI TIMS LLC,727-290-5274,tikitims2020@gmail.com,,",  ",,",  ","TIMOTHY ESKRIDGE, SHANI DUVALL, SHANI DUVALL, ALEXANDER RANGEL, ALEXANDER RANGEL",MODERATE,PINELLAS PARK,L24000054131
CREAM FUSION LLC,954-982-4640,cummingsdevon@gmail.com,,",  ",,",  ","DEVON CUMMINGS, DEVON CUMMINGS",MODERATE,GREENACRES,L24000456582
MARGO'S KITCHEN LLC,917-365-6753,margoskitchen63@gmail.com,,",  ",,",  ","LYNDA MONDESIR, LYNDA MONDESIR",MODERATE,BOYNTON BEACH,L22000311762
"THREE ODD GUYS BREWING, LLC",407-703-2051,trod@threeoddguysbrewing.com,,",  ",,",  ","PHILLIP       RII DEEMS, TROD          OJR BUGGS, Trod          O Buggs, Jr",MODERATE,APOPKA,L17000213381
VELCHOFF'S CORNER LLC,386-530-9021,donnafeibelman@gmail.com,,",  ",,",  ","RICHARD       Y FEIBELMAN, DONNA         H FEIBELMAN, Donna         H Feibelman",MODERATE,PALATKA,L20000310567
ANDY D'S FOOD OF NAVARRE LLC,850-200-0702,STAFF@DURSTJORDAN.COM,,",  ",,",  ","LUCIANA RINCON HERNANDEZ, LUCIANA RINCON HERNANDEZ, ANDREW DEMARTIN, ANDREW DEMARTIN",MODERATE,NAVARRE,L23000055064
STREETERS ACCLAIMED KITCHEN LLC,904-418-0571,JOHNATHANSTREETER99@GMAIL.COM,,",  ",,",  ","Johnathan Streeter, JOHNATHAN     M STREETER",MODERATE,JACKSONVILLE,L20000227218
"TACO WORKS DOWNTOWN, LLC",239-246-1246,brad@thecozzateam.com,,",  ",,",  ","Bradley       E Cozza, bradley cozza",MODERATE,CAPE CORAL,L22000092407
"BURGERS ON POINT, LLC",813-654-3232,chicagosbestburgers@gmail.com,,",  ",,",  ","DANIEL FRANCO ROA, STALIN        J VASQUEZ PERDOMO, Lisa          M Hernandez Williams, Lisa          M Hernandez Williams",MODERATE,BRANDON,L17000035216
GRILLE 19 ASIAN FUSION INC,727-459-5309,KWALTON@CENTURYLINK.NET,,",  ",,",  ","KATRINA WALTON, KATRINA WALTON, SEAN NGUYEN, SEAN NGUYEN",MODERATE,PORT RICHEY,P22000090515
HIBACHI JOSE RESTAURANT LLC,352-217-0349,RUBIS.ROVIRA@WEINSUREGROUP.COM,,",  ",,",  ","JOSE HERRERA SANDOVAL, JOSE HERRERA SANDOVAL",MODERATE,LEESBURG,L24000118961
BILYK INVESTMENT GROUP LLC,407-361-9111,bilykinvestmentgroup@gmail.com,,",  ",,",  ","JUSTIN        D BILYK, JUSTIN BILYK",MODERATE,KISSIMMEE,L22000440270
HOOKED ON JUPITER LLC,561-203-2301,arthur@b-hooked.com,,",  ",,",  ",,MODERATE,JUPITER,L24000116498
TACO TIME MEXICAN GRILL LLC,352-516-8232,tacotime@yahoo.com,,",  ",,",  ","MEHDI MALEKIHA, MEHDI MALEKIHA, ALMA GUZMAN, Alma Guzman",MODERATE,EUSTIS,L19000091741
ROMI RIPA LLC,727-233-9200,Roumeliia@gmail.com,,",  ",,",  ","KIMARA WEEKS, ADRIAN WEEKS, LASHAY JOHNSON, ALLEGRE BROWN, RAFAEL SALAZAR NAVARRO",MODERATE,HUDSON,L23000001835
"WILD OLIVES MARKET, LLC",850-259-3541,WILDOLIVES@MCHSI.COM,,",  ",,",  ","GONZALO NAVARRO, GONZALO NAVARRO, CHRIS         M TROVAS, Ivy           M Smith",MODERATE,SANTA ROSA BEACH,L08000100719
"CABANA CAFE RESTAURANT, INC",850-424-3574,destinaccounting@yahoo.com,,",  ",,",  ","WAYNE         A ANDERSON, WAYNE         A ANDERSON, VICENTE LOPEZ, REBECCA MONTANEZ, CARLOS        E CORTES",MODERATE,MIRAMAR BEACH,P07000052048
JAKE & HENRY'S LLC,850-259-3541,259matt@gmail.com,,",  ",,",  ","MARC VERDERAME, ANTHONY VERDERAME, JOANNE VERDERAME, JOANNE VERDERAME, YUNIER PADRON REYES",MODERATE,FORT WALTON BEACH,L21000007000
RICO PAN BAKERY CAFE INC,407-814-4236,,,",  ",,",  ",,MODERATE,KISSIMMEE,
TATLICI FOOD INC,312-709-3413,FLfilings@northwestregisteredagent.com,,",  ",,",  ","SUMMER        W TATLICI, SUMMER        W Tatlici, Matthew Szaro",MODERATE,CLEARWATER,P23000044029
"3 DAUGHTERS BREWING, LLC",727-495-6002,jessica@3dbrewing.com,,",  ",,",  ",MICHAEL HARTING,MODERATE,ST. PETERSBURG,L12000143754
CANDELA GASTRO BAR CORP,786-354-4942,DRESSAMSEDRAK@HOTMAIL.COM,,",  ",,",  ","Edgar Aray, Mauricio Villafanez, MONA MEGALLA, ESSAM SEDRAK, ESSAM SEDRAK",MODERATE,MIAMI,P16000085597
LICK-IT BBQ & WOOD FIRED PIZZA,305-986-2999,mgonzalez@turnercpas.com,,",  ",,",  ","RAUL          A BUSQUET, RAUL          A BUSQUET",MODERATE,MIAMI,L23000092128
M&L TARPON SPRINGS LLC,727-301-9804,MARTINSELEEM@GMAIL.COM,,",  ",,",  ","THOMAS        CPA BELLANTE, THOMAS        CPA BELLANTE, GARYN ANGEL, THOMAS        J BELLANTE, Herbert       WEsq. Larson",MODERATE,TARPON SPRINGS,L15000030285
JLB BEACH LLC,561-249-2795,mikeryan32645@yahoo.com,,",  ",,",  ","Keith Washington, Gerard Hansen, MICHAEL       JEsq. RYAN",MODERATE,RIVIERA BEACH,L17000230417
"AMERICAN ICON BREWERY, LLC",954-500-4266,kromano@americaniconbrewery.com,,",  ",,",  ","Thomas        C Berry, MICHAEL       R RECHTER, Thomas Berry",MODERATE,BOYNTON BEACH,L15000165403
TROY A STEPHENS,352-475-3015,THEFROZENPELICAN@GMAIL.COM,,",  ",,",  ",,MODERATE,MELROSE,
AVENUE BLU,813-494-5615,info@avenueblu.com,,",  ",,",  ",DONNY         III SMALLWOOD,MODERATE,RIVERVIEW,L23000534593
ST. ANDREWS SLICE HOUSE LLC,850-276-2925,phillmmercer@gmail.com,,",  ",,",  ",PHILLIP       M MERCER,MODERATE,PANAMA CITY,L23000357856
MARES REAL PERUVIAN CUISINE,407-218-2328,snardella@nardellalaw.com,,",  ",,",  ","JAMES DURAN, JAMES DURAN, Arturo Gamio",MODERATE,HUNTERS CREEK,L22000085696
THE ELUSIVE GRAPE INC,386-785-2467,elusivegrape@cfl.rr.com,,",  ",,",  ","JENNIFER      L BUDZINSKI, WILLIAM       JJR. BUDZINSKI, WILLIAM       J BUDZINSKI",MODERATE,DELAND,P03000101986
LA PICANA GRILL RESTAURANTE,786-848-5356,lapicanagrillrestaurante@gmail.com,,",  ",,",  ","DIEGO         R PEREYRA MEJIA, JOSUE         R ECHETO CAMPO",MODERATE,MIAMI,L24000388678
APOCALYPSE BBQ LLC,305-613-9112,Alfredbeato@lgadvice.com,,",  ",,",  ","JEFFREY BUDNECHKY, JEFFREY BUDNECHKY",MODERATE,MIAMI,L20000201249
BURGERS ON POINT LLC,813-654-3232,chicagosbestburgers@gmail.com,,",  ",,",  ","DANIEL FRANCO ROA, STALIN        J VASQUEZ PERDOMO, Lisa          M Hernandez Williams, Lisa          M Hernandez Williams",MODERATE,BRANDON,L17000035216
LA COLOMBIANITA BAKERY AND RESTAURANT LLC,863-205-0801,LACOLOMBIANITALLC1@GMAIL.COM,,",  ",,",  ","NELSON ROBLEDO, JACQUELINE ORTIZ, NELSON ROBLEDO",MODERATE,DAVENPORT,L22000405264
SOUL HIBACHI,321-614-8002,info@soulhibachi.com,,",  ",,",  ","MAURICE WRIGHT, MAURICE WRIGHT, Isis Barnes, ISIS BARNES",MODERATE,TITUSVILLE,L18000026696
"CANTINA VIAJERO, LLC",214-995-5010,karin@baalegal.com,,",  ",,",  ",RITHEA SOM,MODERATE,TRINITY,L21000521990
MATOS ELITE ENTERPRISES LLC,908-294-2022,aeswfl@gmail.com,,",  ",,",  ",ANA MATOS,MODERATE,THREE OAKS,L21000352979
WENT4IT LLC,561-291-4607,FORMATIONS@WYOMINGLLCATTORNEY.COM,,",  ",,",  ","LORENA        I FILGUEIRA, ANDRES        A FILGUEIRA, ANDREA        V FILGUEIRA, ANDRES        A FILGUEIRA, JOSEPH        D ECKSTEIN",MODERATE,DELRAY BEACH,L25000003085
OLIVELLAS ITALIAN RESTAURANT AND PIZZERIA INC,407-325-7040,,,",  ",,",  ",,MODERATE,WINTER SPRINGS,
LOS PERRITOS DEL BARRIO LLC,754-231-7447,bwtusa@gmail.com,,",  ",,",  ",MARIA         A RENDON OCAMPO,MODERATE,MIAMI,L22000431477
NMR RESTAURANT INC,239-922-3051,MIKE.ALHADARI62@GMAIL.COM,,",  ",,",  ","MOHAMAD AL-HADARI, MOHAMAD       J AL-HADARI, JOANNE PETIT-FRERE, NOVILUS PETIT-FRERE, DONALD        CJR RICHBOURG",MODERATE,FORT MYERS,P23000083399
MARIO'S FAMILY RESTAURANT INC,305-224-3648,mwb_miami@yahoo.com,,",  ",,",  ","Mario         Sr. Hernandez, Mario         Sr. Hernandez, CARMENZA      O BLAUCH, MAURICE       W BLAUCH II",MODERATE,HOMESTEAD,P12000017797
EL SABOR DE MEXICO LLC,813-703-4635,DCMSERVICESCENTER@GMAIL.COM,,",  ",,",  ","JAQUELIN MUNIZ-ALVAREZ, JAQUELIN MUNIZ-ALVAREZ",MODERATE,TAMPA,L22000127806
LA PICANA GRILL LLC,786-436-6619,ANA@AKACCOUNTINGFIRMCORP.COM,,",  ",,",  ","BRIGITTE SANCHEZ LOAIZA, JOSUE ECHETO CAMPO, WILLIAM GOUT, CHRISTINE GOUT, WILLIAM GOUT",MODERATE,MIAMI,L19000014222
SAVORES LLC,772-559-4519,JESSICACHACIN@SAVORESLLC.COM,,",  ",,",  ","ALFRED        J ACOSTA NAVARRO, JESSICA CHACIN, JESSICA CHACIN",MODERATE,VERO BEACH,L23000352960
MARUKO LLC,954-531-4267,ANNIEKDU@YAHOO.COM,,",  ",,",  ","SEBASTIAN GOMEZ, MIGUEL ABENTE, FELIPE GOMEZ, SANTIAGO      P GOMEZ ZELADA, TONY CHEN",MODERATE,HOLLYWOOD,L17000066502
RA MARTINEZ SPINELLI CORP.,702-544-5222,GHANNOLD74@GMAIL.COM,,",  ",,",  ","ROBERTO MARTINEZ, GABRIEL       J HANNOLD, GABRIEL       J HANNOLD",MODERATE,ORLANDO,P21000057985
TIENDA Y TAQUERIA JERUSALEM INC,386-697-6135,debevans01@yahoo.com,,",  ",,",  ","GLENDA        N GARCIA, GLENDA        N GARCIA, DEBORAH EVANS, DEBORAH       J EVANS",MODERATE,LAKE CITY,P17000022255
BARNARD INTERNATIONAL ENTERPRISES LLC,352-223-6238,magicmeatboutique@gmail.com,,",  ",,",  ","PHILLIP       W BARNARD, Phillip Barnard",MODERATE,MOUNT DORA,L13000162147
"MCCUMBER-WRIGHT VENTURE, LLC",904-537-4513,josh.mccumber@mwvgolf.com,,",  ",,",  ","JACQUELINE    L PHARR, WILLIAM       H OGLE, W. GLENN MAYFIELD, JACKIE        L WARD, W. GLENN      E MAYFIELD",MODERATE,HOLLYWOOD,L01000022565
"ASSISTED HANDS, LLC",919-522-3450,kshaver063@gmail.com,,",  ",,",  ","HENRY GARRETT SMITH, HENRY         L SMITH, VERA SMITH, FELECIA BROWN, FELECIA BROWN",MODERATE,BATON ROUGE,M24000002063
QUATES MEXICAN RESTAURANT INC,954-635-2404,an@orlandovacationrealty.com,,",  ",,",  ","JOSE          O VILLATORO, JOSE          O VILLATORO, An Flamand, An Flamand",MODERATE,OAKLAND PARK,P16000057893
HAMMOCK GREENS INC.,239-249-7000,vanyasings@gmail.com,,",  ",,",  ","RAUL          M DUANES CESPEDES, RAUL          M DUANES CESPEDES, Kajari        R Sa-Ra, ANDREW SILVERA, VANYA         T ALLEN",MODERATE,HOLLYWOOD,G20000068329
"SHACK, INC.",386-688-7563,jbrave@tampabay.rr.com,,",  ",,",  ","DAVID         R RUPP, Gerald        LSR. Brave Sr., Michele BRAVE",MODERATE,REDDING,L20000320613
"SYLVAIN'S CARIBBEAN RESTAURANT AND CATERING, LLC",386-517-3583,SERVICE@MARSOLU.COM,,",  ",,",  ","LEUWHANA SYLVAIN, EJUSTE SYLVAIN, LEUWHANA SYLVAIN",MODERATE,PALM COAST,L16000170118
"MYAMIBACHI, LLC",561-597-3216,maria.moreno@pointax.com,,",  ",,",  ","JESSENIA GONZALEZ, XIBILLE SALAZAR, MICHAEL SALAZAR, Michael Salazar, KATHLEEN      I TERRY",MODERATE,MIAMI,L22000013821
"NAKAMA ANIME CAFE, LLC",865-640-3066,shawnlim212@gmail.com,,",  ",,",  ","SHAWN LIM, SHAWN LIM",MODERATE,ORANGE PARK,L23000101810
"BUT FIRST COFFEE SHOP, LLC",407-655-9388,butfirstcoffeeshop@yahoo.com,,",  ",,",  ","Ihomar Feliciano, Frances       M Rojas, FRANCES       M ROJAS",MODERATE,PINE CASTLE,L21000516847
LADY SUGAR SHACK BBQ INC.,407-600-5014,office@yourodt.com,,",  ",,",  ","LYNETTE       M BURGESS, LYNETTE       M BURGESS, CHRIS GOBELI, CHRIS GOBELI",MODERATE,DAYTONA BEACH,P24000055217
MEMESH GROUP INC,813-900-6893,BOWLESJOHNNY62@GMAIL.COM,,",  ",,",  ","MOAMAN KHALIFA, MOAMAN KHALIFA, JHONNY        P BOWLES RIVERO, VADIR NALLAR NODA, JHONNY        P BOWLES RIVERO",MODERATE,TAMPA,P24000067961
KELOKE DOMINICAN FOOD TRUCK LLC,954-847-0026,Claudygabriella@gmail.com,,",  ",,",  ","MAXIMILIANO ALFONZO, MAXIMILIANO ALFONZO, SAURI         J POLANCO, CLAUDIA       N LOPEZ, Sauri         J Polanco",MODERATE,FORT LAUDERDALE,L22000067160
FRADIAVOLO,786-216-5697,lakesidecustompoolsfl@gmail.com,,",  ",,",  ","DAVIS         C FALK, DAVIS         C FALK",MODERATE,MIAMI,G24000102388
MJG INC,716-432-2973,CBABBOTT2001@YAHOO.COM,,",  ",,",  ","MARY JANE STAGI, MARY JANE STAGI, PAUL OSBORNE, CHRISTOPHER ABBOTT, CHRISTOPHER ABBOTT",MODERATE,HALLANDALE BEACH,L06000093407
MIAMI,786-449-4300,KINGSTEVENMENA@GMAIL.COM,,",  ",,",  ","YOANDY HERNANDEZ ACOSTA, YOANDY HERNANDEZ ACOSTA, STEVEN MENA, STEVEN MENA",MODERATE,MIAMI,L21000076993
MATTIE'S DELECTABLE DESSERTS INC.,407-467-4210,CLAUDIA@PIEDRACPA.COM,,",  ",,",  ","PETER         A BERNARD, Brenda        L Bernard, Brenda        L Bernard, CARLOS        A GOROSITO, BENJAMIN      J VIJNOVSKY",MODERATE,ORLANDO,P11000109075
LAWTON CITY CORP,786-956-7436,hdumeus@hotmail.com,,",  ",,",  ","CARLOS ERNESTO SANTANA ESTRADA, DANIEL GONZALEZ SUZARTE, DANIEL GONZALEZ SUZARTE, HUGUETTE DUMEUS, HUGUETTE DUMEUS",MODERATE,MIAMI,P24000037048
CHOP LLC,850-736-9802,drew@taylorevents.com,,",  ",,",  ","DREW LAWLESS, GORAN DRASKOVIC, GORAN DRASKOVIC, MILDRED HICKS, BETTY         J GORDON",MODERATE,PONTE VEDRA BEACH,N13000003407
XCLUSIVE EATZ LLC,352-682-6111,Edwinfaircloth@yahoo.com,,",  ",,",  ","JUSTINA       F CAPUTO, EMMANUEL      J ROUZA, EMMANUEL      J ROUZA, KEYSHONNA KELLUM, EDWIN FAIRCLOTH",MODERATE,GAINESVILLE,L21000089762
212 EATS LLC,209-420-4874,ANTOINNEF@GMAIL.COM,,",  ",,",  ","ENCO FERREIRAS, ANTOINNE      R FIGUEROA, Antoinne      R Figueroa, JULIANA ALVAREZ, CRISTINA      E CERNUDA",MODERATE,WEST PARK,L22000035385
"HAPPINESS IS..., LLC",603-391-4129,,,",  ",,",  ",,MODERATE,ORMOND BEACH,411648
LA VACA LOCA CHURRASQUERIA LLC,305-354-6919,AVONDALE.BUSINESS.SERVICES@GMAIL.COM,,",  ",,",  ","THERESA RITACCO, THERESA RITACCO",MODERATE,PRINCENTON,P22000078947
BIZZARRO PIZZA COMPANY,321-302-2810,JENNIFER233@AOL.COM,,",  ",,",  ","PETER         J BIZZARRO, PETER JR. BIZZARRO, JENNIFER ANN MANJARRES, JENNIFER ANN MANJARRES",MODERATE,SATELLITE BEACH,P10000039054
HICKS SEAFOOD HOUSE OF APOPKA LLC,407-255-0538,hicksseafoodapk@gmail.com,,",  ",,",  ","WILLIAM HICKS, WILLIAM HICKS",MODERATE,APOPKA,L23000535473
YOU DIRTY DOG,631-903-2572,,,",  ",,",  ","LARRY BLANKENHORN, SANDY BLANKENHORN",MODERATE,POMPANO BEACH,P02000061207
BAK A YAAD CUISINE LLC,954-496-5935,bakayaadcuisine@gmail.com,,",  ",,",  ","ANTOINE FRANCIS, SHIVETTE FRANCIS, SHIVETTE FRANCIS",MODERATE,LAUDERDALE LAKES,L21000058562
CASITA LUNA MEXICAN RESTAURANT LLC,352-512-2019,Casitalunamexicanrestaurantllc@gmail.com,,",  ",,",  ","REYNA LUNA GUTIERREZ, ASHLEY ZELAYA",MODERATE,OCALA,L23000093587
DINA ABDEL MEDITERRANEAN DINER LLC,727-233-2173,Far13Abde@Gmail.com,,",  ",,",  ","DINA FARHANI, ABDELJELIL FARHANI, DINA FARHANI",MODERATE,PORT RICHEY,L23000406035
RED GROUPER TAVERN LLC,941-441-7661,jkasmirski@outlook.com,,",  ",,",  ","JAMES         M KASMIRSKI, JAMES         M KASMIRSKI",MODERATE,VENICE,L21000383103
NEON COCONUTS INC,305-339-0811,christine@partyhelp4u.com,,",  ",,",  ","MARIA         F CHACON, Maria         F Chacon, CHRISTINE BRETANA, DANIEL BRETANA, CHRISTINE BRETANA",MODERATE,DORAL,P21000027098
EL MARIACHI LOCO MEXICAN RESTAURANT,904-704-0193,SOFIATAMPABAY@HOTMAIL.COM,,",  ",,",  ","SOFIA PAULINO, SOFIA PAULINO",MODERATE,PORT RICHEY,L24000242477
A TASTE OF PUERTO RICO,772-800-8867,yfigueroa44.yf@gmail.com,,",  ",,",  ",YVONNE FIGUEROA,MODERATE,PORT ST. LUCIE,L20000204596
SYLVAINS CARIBBEAN RESTAURANT AND CATERING LLC,386-517-3583,SERVICE@MARSOLU.COM,,",  ",,",  ","LEUWHANA SYLVAIN, EJUSTE SYLVAIN, LEUWHANA SYLVAIN",MODERATE,PALM COAST,L16000170118
THE CHEFS TABLE LLC,772-287-5599,,,",  ",,",  ","STEVE SABATINO, STEVEN SABATINO",MODERATE,STUART,P02000096352
LA PEQUENA COLOMBIA RESTAURANT,813-264-1177,,,",  ",,",  ","MARIELA JIMENEZ-ABADIA, MARIELA JIMENEZ-ABADIA",MODERATE,TAMPA,P94000063129
RAVISH LLC,706-504-7308,hello@ravishkitchen.com,,",  ",,",  ","RYAN GIFFIN, JORDAN RAMBIN, ALEXANDRA DUPUIS, ALEXANDRA DUPUIS",MODERATE,LANTANA,L18000289891
CEREMONY BREWING LLC,239-221-7849,MICHAEL@CHIPBUILDERSFL.COM,,",  ",,",  ","OLIVIER ANDRE, MICHAEL       J NUNEZ, MICHAEL       J NUNEZ, CARLOS        A DATENA, CARLOS        A DATENA",MODERATE,BONITA SPRINGS,G21000027783
CAFE COQUI LLC,407-394-6151,Linda@daecpa.net,,",  ",,",  ","JUANITA FERNANDEZ, RONALD        E LEVY, DANNY TOMMIE, SOPHIA BANKS, ALEX          J KURKIN",MODERATE,ORLANDO,P02000020169
