debtor_name,Primary Phone,All Phones,sunbiz_email,city,state,address,zip,num_mcas,enhanced_distress_level
"LE PAVILLON OF ST. AUGUSTINE, LLC",904-377-7610,904-377-7610,chezlamouruptown@gmail.com,ST AUGUSTINE,FL,45 SAN MARCO AVE,32084,2,HIGH
ARIO LLC,407-724-6910,407-724-6910,ORMOD1717@GMAIL.COM,PANAMA CITY BEACH,FL,1308 BECK AVENUE,32401,2,HIGH
PRONTO PIZZA INC,561-842-5660,561-842-5660,betty@bonosbarbq.com,OCALA,FL,303 SE 17TH STREET #104,34471,2,HIGH
LA GUAJIRA PIZZERIA CUBANA LLC,786-253-0514,786-253-0514,dianelisjesus@hotmail.com,HIALEAH,FL,1905 W 60TH ST,33012,2,MODERATE
"AROY THAI & SUSHI, INC.",813-562-1010,813-562-1010,cindy@commpropmanagement.com,PETERSBURG,FL,5306 SEMINOLE BLVD ST.,33708,2,MODERATE
"RINCONCITO LATINO CAFETERIA, INC.",305-606-9323,305-606-9323,usa.managementco@gmail.com,MIAMI,FL,9979 S.W. 142 AVENUE,33155,2,MODERATE
THE URBAN OAK BRICK OVEN LLC,727-858-7346,727-858-7346,theurbanoakbrickoven@gmail.com,NEW PORT RICHEY,FL,11406 RIDGE RD,34654,2,MODERATE
FOSTERS BBQ,561-460-3490,561-460-3490,,WEST PALM BCH,FL,510 21ST ST APT 2,33407,2,MODERATE
"HOMELAB SOLUTIONS, LLC",305-924-1043,305-924-1043,YURIBALART@HOTMAIL.COM,MIAMI,FL,4724 SW 135TH PL,33175,2,MODERATE
"AFRO LOUNGE, LLC",610-657-4069,610-657-4069,accahorlu@gmail.com,HOLLYWOOD,FL,2050 HOLLYWOOD BLVD,33020,2,MODERATE
CHARLIE'S HAPPY CORN INC,863-484-3198,863-484-3198,dazesouvenir@yahoo.com,PALM SPRINGS,FL,3273 LAKE WORTH RD,33461,2,MODERATE
"RP PALM BEACH, LLC",561-296-7699,561-296-7699,jason@jasonhamilton.ink,WEST PALM BEACH,FL,309-313 CLEMATIS STREET,33401,2,MODERATE
"JERK MACHINE @ RIVER BEND FT LAUDERDALE, LLC",954-440-4556,954-440-4556,jerkmachine3@gmail.com,FORT LAUDERDALE,FL,317 SOUTHWEST 6TH STREET,33315,2,MODERATE
TIKI TIMS LLC,727-290-5274,727-290-5274,tikitims2020@gmail.com,PINELLAS PARK,FL,11424 60TH ST N,33782-2625,2,MODERATE
CREAM FUSION LLC,954-982-4640,954-982-4640,cummingsdevon@gmail.com,GREENACRES,FL,3979 S JOG RD,33467,2,MODERATE
MARGO'S KITCHEN LLC,917-365-6753,917-365-6753,margoskitchen63@gmail.com,BOYNTON BEACH,FL,4735 N CONGRESS AVE,33426,2,MODERATE
"THREE ODD GUYS BREWING, LLC",407-703-2051,407-703-2051,trod@threeoddguysbrewing.com,APOPKA,FL,48 E 5TH STREETS,32703,2,MODERATE
VELCHOFF'S CORNER LLC,386-530-9021,386-530-9021,donnafeibelman@gmail.com,PALATKA,FL,105 N 2ND STREET STE. D,32177,2,MODERATE
ANDY D'S FOOD OF NAVARRE LLC,850-200-0702,850-200-0702,STAFF@DURSTJORDAN.COM,NAVARRE,FL,8649 GULF BOULEVARD,32566,2,MODERATE
STREETERS ACCLAIMED KITCHEN LLC,904-418-0571,904-418-0571,JOHNATHANSTREETER99@GMAIL.COM,JACKSONVILLE,FL,7185 CRANE AVENUE,32216,2,MODERATE
"TACO WORKS DOWNTOWN, LLC",239-246-1246,239-246-1246,brad@thecozzateam.com,CAPE CORAL,FL,1017 CAPE CORAL PARKWAY EAST SUITE B,33904,2,MODERATE
"BURGERS ON POINT, LLC",813-654-3232,813-654-3232,chicagosbestburgers@gmail.com,BRANDON,FL,1925 WEST BRANDON BOULEVARD,33511,2,MODERATE
GRILLE 19 ASIAN FUSION INC,727-459-5309,727-459-5309,KWALTON@CENTURYLINK.NET,PORT RICHEY,FL,10164 US HIGHWAY 19,34668,2,MODERATE
HIBACHI JOSE RESTAURANT LLC,352-217-0349,352-217-0349,RUBIS.ROVIRA@WEINSUREGROUP.COM,LEESBURG,FL,210 N LONE OAK DR UNIT 2,34748-4716,2,MODERATE
BILYK INVESTMENT GROUP LLC,407-361-9111,407-361-9111,bilykinvestmentgroup@gmail.com,KISSIMMEE,FL,5143 CROWN HAVEN DR,34746,2,MODERATE
HOOKED ON JUPITER LLC,561-203-2301,561-203-2301,arthur@b-hooked.com,JUPITER,FL,337 E INDIANTOWN RD STE 10,33477,2,MODERATE
TACO TIME MEXICAN GRILL LLC,352-516-8232,352-516-8232,tacotime@yahoo.com,EUSTIS,FL,2736 E DELLWOOD DR,32726,2,MODERATE
ROMI RIPA LLC,727-233-9200,727-233-9200,Roumeliia@gmail.com,HUDSON,FL,9821 DENTON AVE.,34667,2,MODERATE
"WILD OLIVES MARKET, LLC",850-259-3541,850-259-3541,WILDOLIVES@MCHSI.COM,SANTA ROSA BEACH,FL,4771 E COUNTY HWY 30A,32459,2,MODERATE
"CABANA CAFE RESTAURANT, INC",850-424-3574,850-424-3574,destinaccounting@yahoo.com,MIRAMAR BEACH,FL,112 SEASCAPE DR,32550,2,MODERATE
JAKE & HENRY'S LLC,850-259-3541,850-259-3541,259matt@gmail.com,FORT WALTON BEACH,FL,138 MIRACLE STRIP PARKWAY SW,32548,2,MODERATE
RICO PAN BAKERY CAFE INC,407-814-4236,407-814-4236,,KISSIMMEE,FL,1003 W VINE ST,34741,2,MODERATE
TATLICI FOOD INC,312-709-3413,312-709-3413,FLfilings@northwestregisteredagent.com,CLEARWATER,FL,530 CLEVELAND STREET,33755,2,MODERATE
"3 DAUGHTERS BREWING, LLC",727-495-6002,727-495-6002,jessica@3dbrewing.com,ST. PETERSBURG,FL,222 22ND STREET,33712,2,MODERATE
CANDELA GASTRO BAR CORP,786-354-4942,786-354-4942,DRESSAMSEDRAK@HOTMAIL.COM,MIAMI,FL,1110 BRICKELL AVENUE SUITE 701,33131,2,MODERATE
LICK-IT BBQ & WOOD FIRED PIZZA,305-986-2999,305-986-2999,mgonzalez@turnercpas.com,MIAMI,FL,18320 NW 85 AVE,33015,2,MODERATE
M&L TARPON SPRINGS LLC,727-301-9804,727-301-9804,MARTINSELEEM@GMAIL.COM,TARPON SPRINGS,FL,40737 US HIGHWAY 19 N,34689,2,MODERATE
JLB BEACH LLC,561-249-2795,561-249-2795,mikeryan32645@yahoo.com,RIVIERA BEACH,FL,2401 OCEAN AVE,33404,2,MODERATE
"AMERICAN ICON BREWERY, LLC",954-500-4266,954-500-4266,kromano@americaniconbrewery.com,BOYNTON BEACH,FL,4781 NORTH CONGRESS AVENUE,33426,2,MODERATE
TROY A STEPHENS,352-475-3015,352-475-3015,THEFROZENPELICAN@GMAIL.COM,MELROSE,FL,854 N STATE ROAD 21,32666,2,MODERATE
AVENUE BLU,813-494-5615,813-494-5615,info@avenueblu.com,RIVERVIEW,FL,10810 BOYETTE ROAD 2875,33569,2,MODERATE
ST. ANDREWS SLICE HOUSE LLC,850-276-2925,850-276-2925,phillmmercer@gmail.com,PANAMA CITY,FL,2712 GLENVIEW AVE,32405-7072,2,MODERATE
MARES REAL PERUVIAN CUISINE,407-218-2328,407-218-2328,snardella@nardellalaw.com,HUNTERS CREEK,FL,13586 VILLAGE PARK DRIVE,32837,2,MODERATE
THE ELUSIVE GRAPE INC,386-785-2467,386-785-2467,elusivegrape@cfl.rr.com,DELAND,FL,129 N WOODLAND BLVD,32720,2,MODERATE
LA PICANA GRILL RESTAURANTE,786-848-5356,786-848-5356,lapicanagrillrestaurante@gmail.com,MIAMI,FL,3188 NW 72ND AV,33122,2,MODERATE
APOCALYPSE BBQ LLC,305-613-9112,305-613-9112,Alfredbeato@lgadvice.com,MIAMI,FL,13504 SW 108 ST CIR N,33186,2,MODERATE
BURGERS ON POINT LLC,813-654-3232,813-654-3232,chicagosbestburgers@gmail.com,BRANDON,FL,1925 WEST BRANDON BOULEVARD UNIT A,33511,2,MODERATE
LA COLOMBIANITA BAKERY AND RESTAURANT LLC,863-205-0801,863-205-0801,LACOLOMBIANITALLC1@GMAIL.COM,DAVENPORT,FL,306 MCFEE DRIVE,33897,2,MODERATE
SOUL HIBACHI,321-614-8002,321-614-8002,info@soulhibachi.com,TITUSVILLE,FL,1239 MACON DR,32780,2,MODERATE
"CANTINA VIAJERO, LLC",214-995-5010,214-995-5010,karin@baalegal.com,TRINITY,FL,1338 EPIPHANY WAY UNIT 103,34655-9407,2,MODERATE
MATOS ELITE ENTERPRISES LLC,908-294-2022,908-294-2022,aeswfl@gmail.com,THREE OAKS,FL,17167 THREE OAKS PARKWAY 1230,33967,2,MODERATE
WENT4IT LLC,561-291-4607,561-291-4607,FORMATIONS@WYOMINGLLCATTORNEY.COM,DELRAY BEACH,FL,404 W ATLANTIC AVE,33444,2,MODERATE
OLIVELLAS ITALIAN RESTAURANT AND PIZZERIA INC,407-325-7040,407-325-7040,,WINTER SPRINGS,FL,1194 SADDLEHORN CIRCLE,32708,2,MODERATE
LOS PERRITOS DEL BARRIO LLC,754-231-7447,754-231-7447; 954-397-4426,bwtusa@gmail.com,MIAMI,FL,"2220 NE SECOND AVENUE, APT 654",33137,2,MODERATE
NMR RESTAURANT INC,239-922-3051,239-922-3051,MIKE.ALHADARI62@GMAIL.COM,FORT MYERS,FL,3732 CLEVELAND AVE,33901,2,MODERATE
MARIO'S FAMILY RESTAURANT INC,305-224-3648,305-224-3648; 305-247-2470,mwb_miami@yahoo.com,HOMESTEAD,FL,1090 N HOMESTEAD BLVD,33033,2,MODERATE
EL SABOR DE MEXICO LLC,813-703-4635,813-703-4635,DCMSERVICESCENTER@GMAIL.COM,TAMPA,FL,320 W WATERS AVE,33604,2,MODERATE
LA PICANA GRILL LLC,786-436-6619,786-436-6619; 305-846-2322,ANA@AKACCOUNTINGFIRMCORP.COM,MIAMI,FL,2634 NORTHEAST 2ND AVENU,33137,2,MODERATE
SAVORES LLC,772-559-4519,772-559-4519,JESSICACHACIN@SAVORESLLC.COM,VERO BEACH,FL,3700 9TH ST SW,32968,2,MODERATE
MARUKO LLC,954-531-4267,954-531-4267,ANNIEKDU@YAHOO.COM,HOLLYWOOD,FL,3327 SHERIDAN ST,33021,2,MODERATE
RA MARTINEZ SPINELLI CORP.,702-544-5222,702-544-5222,GHANNOLD74@GMAIL.COM,ORLANDO,FL,8530 PALM PKWY,32836,2,MODERATE
TIENDA Y TAQUERIA JERUSALEM INC,386-697-6135,386-697-6135,debevans01@yahoo.com,LAKE CITY,FL,16932 S US HIGHWAY 441,32024,2,MODERATE
BARNARD INTERNATIONAL ENTERPRISES LLC,352-223-6238,352-223-6238,magicmeatboutique@gmail.com,MOUNT DORA,FL,322 NORTH ALEXANDER STREET,32757,2,MODERATE
"MCCUMBER-WRIGHT VENTURE, LLC",904-537-4513,904-537-4513,josh.mccumber@mwvgolf.com,HOLLYWOOD,FL,1600 JOHNSON ST,33020,2,MODERATE
"ASSISTED HANDS, LLC",919-522-3450,919-522-3450,kshaver063@gmail.com,BATON ROUGE,LA,11745 BRICKSOME AVE. SUITE B1,70816,1,MODERATE
QUATES MEXICAN RESTAURANT INC,954-635-2404,954-635-2404,an@orlandovacationrealty.com,OAKLAND PARK,FL,3701 NORTH ANDREWS AVENUE,33309,1,MODERATE
HAMMOCK GREENS INC.,239-249-7000,239-249-7000,vanyasings@gmail.com,HOLLYWOOD,FL,1900 VAN BUREN ST APT 116,33020,1,MODERATE
"SHACK, INC.",386-688-7563,386-688-7563,jbrave@tampabay.rr.com,REDDING,CA,1325 EUREKA WAY,96001,1,MODERATE
"SYLVAIN'S CARIBBEAN RESTAURANT AND CATERING, LLC",386-517-3583,386-517-3583; 386-264-6048,SERVICE@MARSOLU.COM,PALM COAST,FL,1000 PALM COAST PKWY SW,32137,1,MODERATE
"MYAMIBACHI, LLC",561-597-3216,561-597-3216,maria.moreno@pointax.com,MIAMI,FL,12750 SW 128TH ST,33186,1,MODERATE
"NAKAMA ANIME CAFE, LLC",865-640-3066,865-640-3066,shawnlim212@gmail.com,ORANGE PARK,FL,1540 WELLS RD,32073,1,MODERATE
"BUT FIRST COFFEE SHOP, LLC",407-655-9388,407-655-9388,butfirstcoffeeshop@yahoo.com,PINE CASTLE,FL,7726 WINEGARD ROAD,32809,1,MODERATE
LADY SUGAR SHACK BBQ INC.,407-600-5014,407-600-5014,office@yourodt.com,DAYTONA BEACH,FL,336 E INTERNATIONAL SPEEDWAY BLVD,32118,1,MODERATE
MEMESH GROUP INC,813-900-6893,813-900-6893,BOWLESJOHNNY62@GMAIL.COM,TAMPA,FL,20216 STILL WIND DR,33647,1,MODERATE
KELOKE DOMINICAN FOOD TRUCK LLC,954-847-0026,954-847-0026,Claudygabriella@gmail.com,FORT LAUDERDALE,FL,9642 NW 45TH ST,33351,1,MODERATE
FRADIAVOLO,786-216-5697,786-216-5697,lakesidecustompoolsfl@gmail.com,MIAMI,FL,281 NW 28TH STREET,33127,1,MODERATE
MJG INC,716-432-2973,716-432-2973,CBABBOTT2001@YAHOO.COM,HALLANDALE BEACH,FL,916 NE 10TH ST,33009,1,MODERATE
MIAMI,786-449-4300,786-449-4300,KINGSTEVENMENA@GMAIL.COM,MIAMI,FL,1001 NW 7TH ST APT. 430,33136,1,MODERATE
MATTIE'S DELECTABLE DESSERTS INC.,407-467-4210,407-467-4210,CLAUDIA@PIEDRACPA.COM,ORLANDO,FL,525 GLEN CHEEK DR,32819,1,MODERATE
LAWTON CITY CORP,786-956-7436,786-956-7436,hdumeus@hotmail.com,MIAMI,FL,2923 SW 1ST STREET,33135,1,MODERATE
CHOP LLC,850-736-9802,850-736-9802,drew@taylorevents.com,PONTE VEDRA BEACH,FL,3081 LA RESERVE DR,32082,1,MODERATE
XCLUSIVE EATZ LLC,352-682-6111,352-682-6111,Edwinfaircloth@yahoo.com,GAINESVILLE,FL,3628 SOUTHEAST 18TH AVENUE,32641,1,MODERATE
212 EATS LLC,209-420-4874,209-420-4874,ANTOINNEF@GMAIL.COM,WEST PARK,FL,2209 SW 59TH TERRACE,33023,1,MODERATE
"HAPPINESS IS..., LLC",603-391-4129,603-391-4129,,ORMOND BEACH,FL,177 E GRANADA BLVD,32176,1,MODERATE
LA VACA LOCA CHURRASQUERIA LLC,305-354-6919,305-354-6919,AVONDALE.BUSINESS.SERVICES@GMAIL.COM,PRINCENTON,FL,12335 SW 248 ST,33032,1,MODERATE
BIZZARRO PIZZA COMPANY,321-302-2810,321-302-2810; 321-537-0292,JENNIFER233@AOL.COM,SATELLITE BEACH,FL,1024 HIGHWAY A1A,32937,1,MODERATE
HICKS SEAFOOD HOUSE OF APOPKA LLC,407-255-0538,407-255-0538,hicksseafoodapk@gmail.com,APOPKA,FL,60 E MAIN ST,32703,1,MODERATE
YOU DIRTY DOG,631-903-2572,631-903-2572,,POMPANO BEACH,FL,1020 SOUTH WEST 46TH AVENUE APT 201,33069,1,MODERATE
BAK A YAAD CUISINE LLC,954-496-5935,954-496-5935,bakayaadcuisine@gmail.com,LAUDERDALE LAKES,FL,4316 N STATE RD 7,33319,1,MODERATE
CASITA LUNA MEXICAN RESTAURANT LLC,352-512-2019,352-512-2019,Casitalunamexicanrestaurantllc@gmail.com,OCALA,FL,4422 W HWY 40 SUITE 1,34482,1,MODERATE
DINA ABDEL MEDITERRANEAN DINER LLC,727-233-2173,727-233-2173,Far13Abde@Gmail.com,PORT RICHEY,FL,15403 BERMONDSEY ST,34668,1,MODERATE
RED GROUPER TAVERN LLC,941-441-7661,941-441-7661,jkasmirski@outlook.com,VENICE,FL,345 COMMERCIAL COURT,34292,1,MODERATE
NEON COCONUTS INC,305-339-0811,305-339-0811,christine@partyhelp4u.com,DORAL,FL,7885 NW 107TH AVE STE 4-07,33178,1,MODERATE
EL MARIACHI LOCO MEXICAN RESTAURANT,904-704-0193,904-704-0193,SOFIATAMPABAY@HOTMAIL.COM,PORT RICHEY,FL,5330 TREADWAY DRIVE,34668,1,MODERATE
A TASTE OF PUERTO RICO,772-800-8867,772-800-8867,yfigueroa44.yf@gmail.com,PORT ST. LUCIE,FL,165 NORTHWEST PEACH STREET,34983,1,MODERATE
SYLVAINS CARIBBEAN RESTAURANT AND CATERING LLC,386-517-3583,386-517-3583; 386-264-6048,SERVICE@MARSOLU.COM,PALM COAST,FL,1000 PALM COAST PARKWAY SOUTHWEST,32137,1,MODERATE
THE CHEFS TABLE LLC,772-287-5599,772-287-5599,,STUART,FL,2313 SE OCEAN BLVD,34996,1,MODERATE
LA PEQUENA COLOMBIA RESTAURANT,813-264-1177,813-264-1177,,TAMPA,FL,6312 N ARMENIA AVE,33604,1,MODERATE
RAVISH LLC,706-504-7308,706-504-7308,hello@ravishkitchen.com,LANTANA,FL,210 EAST OCEAN AVENUE,33462,1,MODERATE
CEREMONY BREWING LLC,239-221-7849,239-221-7849,MICHAEL@CHIPBUILDERSFL.COM,BONITA SPRINGS,FL,11040 DEAN ST.,34135,1,MODERATE
CAFE COQUI LLC,407-394-6151,407-394-6151,Linda@daecpa.net,ORLANDO,FL,3819 AVALON PARK EAST BLVD,32828-4853,1,MODERATE
HICKS SEAFOOD HOUSE OF APOPKA,407-255-0538,407-255-0538,hicksseafoodapk@gmail.com,APOPKA FL,FL,60 WEST MAIN STREET,32703,1,MODERATE
PAPY'S BURGER LLC,786-512-5284,786-512-5284,larrylinares2014@gmail.com,MIAMI,FL,1890 NW 107TH AVE,33172,1,MODERATE
VANTAGE POINT COFFEE LLC,904-415-9275,904-415-9275,info@vantagepointcoffee.com,JACKSONVILLE,FL,13042 ROCKY RIVER RD N,32224,1,MODERATE
TAQUERIA ANGEL LLC,863-804-2763,863-804-2763,maldonado_solutions@outlook.com,MULBERRY,FL,3359 ROYAL OAK DR N,33860,1,MODERATE
ROXY'S PUB,561-296-7699,561-296-7699,HOMESBYWEN@YAHOO.COM,WEST PALM BEACH,FL,309-313 CLEMATIS STREET,33401,1,MODERATE
"HERRON REAL ESTATE, LLC",904-239-8073,904-239-8073,rpd13131@yahoo.com,PONTE VEDRA BEACH,FL,"10580 US HIGHWAY 1 N, UNIT 411-412",32081,1,MODERATE
KING SEAFOOD LLC,305-923-5649,305-923-5649,KINGSEAFOOD@ICLOUD.COM,MARATHON,FL,10925 OVERSEAS HWY,33050,1,MODERATE
THE OWL SMOKE SHOP,813-843-9386,813-843-9386,twoolfolk@wyattfirm.com,BRANDON,FL,109 N KINGS AVE,33510,1,MODERATE
"WILTON WINGS, LLC",954-462-9696,954-462-9696,PAULAPACE@COMCAST.NET,FORT LAUDERDALE,FL,1428 NORTHEAST 4TH AVENUE,33304,1,MODERATE
GOLDEN KRUST,407-394-9228,407-394-9228,DANIELLEPAPPAS@BELLSOUTH.NET,WEST PALM BEACH,FL,6901 OKEECHOBEE BLVD,33411,1,MODERATE
PANFRIDAYS LLC,954-812-4279,954-812-4279,muschette0606@gmail.com,LAUDERHILL,FL,7183 W OAKLAND BLVD,33313,1,MODERATE
CIRCLE GRILL LLC,850-263-3292,850-263-3292,,GRACEVILLE,FL,5325 COTTON STREET,32440,1,MODERATE
LATIN CREATIONS LLC,904-705-5406,904-705-5406,,JACKSONVILLE,FL,3505 ST JOHNS BLUFF RD S,32224,1,MODERATE
"SHORE THANG, LLC",706-570-1513,706-570-1513,ctobeyka@gmail.com,ODESSA,FL,12263 STATE ROAD 54 # 5,33556,1,MODERATE
"TRIPLE CROWN TRAILERS, LLC",352-377-0510,352-377-0510,,OCALA,FL,4251 S PINE AVE,34480,1,MODERATE
"RAVISH, LLC",706-504-7308,706-504-7308,hello@ravishkitchen.com,LANTANA,FL,210 EAST OCEAN AVENUE,33462,1,MODERATE
EUPHORIA SUSHI BAR & LOUNGE LLC,386-222-9668,386-222-9668,abello@aventuslawgroup.com,KISSIMMEE,FL,2783 N. ORANGE BLOSSOM TRAIL,34744,1,MODERATE
C$C COOK LLC,407-255-0211,407-255-0211,sgreeneiv@gmail.com,DAVENPORT,FL,2407 ZABALLINA PL,33897,1,MODERATE
LA MICHOACANA PALETERIA INC,850-708-2340,850-708-2340,TCALVO@qualitywebplus.com,PANAMA CITY,FL,4100 HWY 98,32401,1,MODERATE
EMPAISANAS LLC,305-721-6565,305-721-6565,empaisanas@gmail.com,MIAMI,FL,1345 NW 37TH,33142,1,MODERATE
"CAFE FIORE, LLC",352-789-6980,352-789-6980,JOMO.REEVES@GMAIL.COM,ST. AUGUSTINE,FL,120 PALENCIA VILLAGE WAY,32095,1,MODERATE
"BAKER, INC.",513-325-2110,513-325-2110,,PALMETTO,FL,903 3RD AVE W,34221,1,MODERATE
"OLDE CYPRESS DEVELOPMENT, LTD",239-596-4797,239-596-4797,,NAPLES,FL,7165 TREELINE DR,34119,1,MODERATE
"LAN XANG-LAO.THAI.VIETNAMESE.DIM SUM, LLC",239-398-2962,239-398-2962,lavinahanlotxomphou@gmail.com,FORT MYERS,FL,12995 S CLEVELAND AVE,33907,1,LOW
LOS TAQUITOS MEXICAN FOOD II LLC,239-410-6994,239-410-6994; 239-207-9605,Aury25.ac@gmail.com,CAPE CORAL,FL,1091 NE PINE ISLAND RD,33909-2182,1,LOW
LOCAL GARAGE DOOR REPAIR INC,310-717-1732,310-717-1732,JESSICASEROTA@YAHOO.COM,NORTH BAY VILLAGE,FL,7811 BEACHVIEW DR,33141,1,LOW
PISTACHO'S BAKERY AND CAKE LLC,407-448-9183,407-448-9183,leroingroup@gmail.com,DAVENPORT,FL,309 GOLDEN SANDS CIR,33837,1,LOW
LA TINAJA BAR AND GRILL LLC,978-645-1407,978-645-1407,lifinancialgroup@yahoo.com,SPRING HILL,FL,7385 SPRING HILL DR,34606,1,LOW
MOREL'S BAR & GRILL CORP,407-308-1131,407-308-1131,bjt@bjtlawpa.com,PALM BAY,FL,1921 ROBERT J CONLAN BLVD NE STE 1,32905,1,LOW
"CHARLOTTE HARBOR YACHT CLUB, INC",941-629-5131,941-629-5131,manager@charlotteharboryc.com,PORT CHARLOTTE,FL,4400 LISTER ST,33952,1,LOW
"TIKI TIMS, LLC",727-290-5274,727-290-5274,tikitims2020@gmail.com,PINELLAS PARK,FL,11424 60TH ST N,33782,1,LOW
COSTENOS SEA FOOD CORP,305-934-5493,305-934-5493,jay@marjacsolutions.com,KEY BISCAYNE,FL,6747 CRANDON BLVD,33149,1,LOW
"MACKER SEAFOOD, LLC",386-290-1306,386-290-1306,tristanmacker@gmail.com,DAYTONA BEACH,FL,141 BAY STREET,32114,1,LOW
GLOBAL CONQUEST HOLDINGS LLC,239-293-2009,239-293-2009,Tamika@growyournon-profit.com,BONITA SPRINGS,FL,3411 BONITA BEACH RD SW,34134,1,LOW
"DE LEON FOOD SERVICES, INC",305-362-6454,305-362-6454,ONLINEFILINGS@LEGALZOOM.COM,HIALEAH,FL,3553 W 76TH ST,33018,1,LOW
ATOMIC LOUNGE AND BAR L.L.C.,786-315-6818,786-315-6818,torerosbrazilian@gmail.com,MIAMI,FL,15548 SW 72 ST,33193,1,LOW
MANAGUITA RESTAURANT CORP,305-256-0663,305-256-0663,toriprintusa@gmail.com,MIAMI,FL,11373 SW 211 ST,33189,1,LOW
WILD OLIVES MARKET LLC,850-259-3541,850-259-3541,WILDOLIVES@MCHSI.COM,SANTA ROSA BEACH,FL,4771 E COUNTY HWY 30A UNIT 103,32459,1,LOW
